Time,Global_ID,Local_ID,Lane_Path,Final_Lane,Unique_Key,Radar_Dist,Radar_Vel,Track_Vel,Score,BBox_W,BBox_H,Ref_U,Ref_V,Proj_U,Proj_V,Delta_U,Delta_V,Pixel_Error,RU,RV,Is_Matched
1771833226.643059,0,2,OUT1,OUT1,2(OUT1),56.896156219211704,,0.0,67.72657833758113,163.0,107.0,1134.0,759.0,,,,,,,,0
1771833226.6793966,64,6,OUT3,OUT3,6(OUT3),50.420167435309146,25.912957763671876,25.716513138206174,48.549638721056084,215.0,155.0,1755.0,870.0,1702.0,815.0,-53.0,-55.0,76.38062581571324,-0.24651162790697675,-0.3548387096774194,1
1771833226.6793966,60,6,IN2,IN2,6(IN2),-1.0,,42.74583922041223,69.74381545513867,89.0,70.0,632.0,613.0,,,,,,,,0
1771833226.6793966,59,5,OUT3,OUT3,5(OUT3),58.900625472247604,27.661684226989745,27.509379883929466,51.52474651937284,170.0,130.0,1550.0,783.0,1467.0,745.0,-83.0,-38.0,91.28526715741155,-0.48823529411764705,-0.2923076923076923,1
1771833226.6793966,55,7,IN3,IN3,7(IN3),95.13530418781413,34.33864402770996,34.27980191124232,60.39894708868707,91.0,83.0,773.0,614.0,729.0,601.0,-44.0,-13.0,45.880278987817846,-0.4835164835164835,-0.1566265060240964,1
1771833226.6793966,54,4,OUT3,OUT3,4(OUT3),76.16992123231137,27.661684226989745,27.56430150435891,67.38051668245694,129.0,95.0,1418.0,685.0,1359.0,652.0,-59.0,-33.0,67.60177512462228,-0.4573643410852713,-0.3473684210526316,1
1771833226.6793966,47,6,IN3,IN3,6(IN3),50.42016640707392,37.51814575195313,36.2624327012346,41.03650019106432,187.0,143.0,628.0,860.0,572.0,885.0,-56.0,25.0,61.326992425847855,-0.2994652406417112,0.17482517482517482,1
1771833226.6793966,40,5,IN3,IN3,5(IN3),-1.0,,29.665013785453255,38.54728749872612,180.0,183.0,757.0,983.0,,,,,,,,0
1771833226.6793966,35,4,OUT1,OUT1,4(OUT1),41.78552293366161,,0.0,39.71006608699658,223.0,190.0,1254.0,946.0,,,,,,,,0
1771833226.6793966,19,3,OUT1,OUT1,3(OUT1),51.962071147259046,,0.0,62.826170101081715,159.0,132.0,1148.0,844.0,,,,,,,,0
1771833226.6793966,11,1,OUT1,OUT1,1(OUT1),56.8961562969168,,0.0,35.17909305657992,110.0,85.0,1069.0,669.0,,,,,,,,0
1771833226.6793966,0,2,OUT1,OUT1,2(OUT1),56.896156219211704,,0.0,67.72657833758113,163.0,106.0,1134.0,758.0,,,,,,,,0
1771833226.72031,64,6,OUT3,OUT3,6(OUT3),50.57435972910799,25.912957763671876,25.780931569934904,49.31388548241822,214.0,154.0,1751.0,868.0,1694.0,775.0,-57.0,-93.0,109.07795377618706,-0.26635514018691586,-0.6038961038961039,1
1771833226.72031,60,6,IN2,IN2,6(IN2),95.28949502390313,50.077187347412114,46.83785299871709,68.3667079112461,89.0,71.0,631.0,615.0,,,,,,,,0
1771833226.72031,59,5,OUT3,OUT3,5(OUT3),59.67157695120825,27.661684226989745,27.56135964946909,51.78388247371472,169.0,130.0,1546.0,781.0,,,,,,,,0
1771833226.72031,55,7,IN3,IN3,7(IN3),95.13530652655821,34.33864402770996,34.30020292644077,58.651144703599805,91.0,84.0,773.0,615.0,729.0,601.0,-44.0,-14.0,46.17358552246078,-0.4835164835164835,-0.16666666666666666,1
1771833226.72031,54,4,OUT3,OUT3,4(OUT3),76.32411099247362,27.820659828186034,27.65575866376454,67.26564612116452,129.0,96.0,1417.0,684.0,1355.0,700.0,-62.0,16.0,64.03124237432849,-0.4806201550387597,0.16666666666666666,1
1771833226.72031,47,6,IN3,IN3,6(IN3),-1.0,,36.56484139760302,40.95442719068219,187.0,146.0,624.0,866.0,,,,,,,,0
1771833226.72031,40,5,IN3,IN3,5(IN3),-1.0,,29.665013785453255,38.54728749872612,180.0,184.0,756.0,987.0,,,,,,,,0
1771833226.72031,35,4,OUT1,OUT1,4(OUT1),41.6313319628925,,0.0,39.71006608699658,222.0,190.0,1255.0,946.0,,,,,,,,0
1771833226.72031,19,3,OUT1,OUT1,3(OUT1),49.49502869543279,,0.0,62.826170101081715,159.0,132.0,1148.0,844.0,,,,,,,,0
1771833226.72031,11,1,OUT1,OUT1,1(OUT1),56.8961562969168,,0.0,35.17909305657992,110.0,85.0,1069.0,669.0,,,,,,,,0
1771833226.72031,0,2,OUT1,OUT1,2(OUT1),56.896156064823714,,0.0,67.72657833758113,164.0,106.0,1135.0,759.0,,,,,,,,0
1771833226.770116,64,6,OUT3,OUT3,6(OUT3),46.87379861554322,25.753982162475587,25.7720942779549,49.98019769736014,212.0,153.0,1748.0,866.0,1687.0,746.0,-61.0,-120.0,134.6142637315972,-0.28773584905660377,-0.7843137254901961,1
1771833226.770116,60,6,IN2,IN2,6(IN2),94.8269274341058,50.2361629486084,47.435526414854785,66.97750564820201,90.0,72.0,632.0,617.0,,,,,,,,0
1771833226.770116,59,5,OUT3,OUT3,5(OUT3),59.67157511778616,27.820659828186034,27.64794144130344,51.98188821686049,169.0,129.0,1544.0,778.0,1448.0,812.0,-96.0,34.0,101.84301645179212,-0.5680473372781065,0.26356589147286824,1
1771833226.770116,55,7,IN3,IN3,7(IN3),94.13307196083414,34.49761962890625,34.36659441298684,57.07197168883135,92.0,84.0,773.0,616.0,714.0,634.0,-59.0,18.0,61.68468205316454,-0.6413043478260869,0.21428571428571427,1
1771833226.770116,54,4,OUT3,OUT3,4(OUT3),76.63249063862679,27.979635429382324,27.766102770749345,67.12540568795026,129.0,96.0,1416.0,681.0,1352.0,653.0,-64.0,-28.0,69.85699678629192,-0.49612403100775193,-0.2916666666666667,1
1771833226.770116,47,6,IN3,IN3,6(IN3),-1.0,,36.56484139760302,40.95442719068219,188.0,148.0,621.0,870.0,,,,,,,,0
1771833226.770116,40,5,IN3,IN3,5(IN3),-1.0,,29.665013785453255,38.54728749872612,181.0,186.0,755.0,991.0,,,,,,,,0
1771833226.770116,35,4,OUT1,OUT1,4(OUT1),41.78552293366161,,0.0,39.71006608699658,222.0,191.0,1255.0,946.0,,,,,,,,0
1771833226.770116,19,3,OUT1,OUT1,3(OUT1),47.02798710886938,,0.0,62.826170101081715,159.0,132.0,1148.0,843.0,,,,,,,,0
1771833226.770116,11,1,OUT1,OUT1,1(OUT1),56.8961562969168,,0.0,35.17909305657992,111.0,85.0,1069.0,669.0,,,,,,,,0
1771833226.770116,0,2,OUT1,OUT1,2(OUT1),56.896156064823714,,0.0,67.72657833758113,164.0,107.0,1135.0,759.0,,,,,,,,0
