Time,Global_ID,Local_ID,Lane_Path,Final_Lane,Unique_Key,Radar_Dist,Radar_Vel,Track_Vel,Score,Reproj_Error_px
1771495726.983998,225,20,IN3,IN3,20(IN3),94.82692179611473,20.666776657104492,37.674732072012766,72.00307523403373,71.23294067382812
1771495726.983998,219,31,IN2,IN2,31(IN2),84.18780478191145,34.02069282531738,34.84870849439023,28.136350190233763,62.948326110839844
1771495726.983998,215,30,IN2,IN2,30(IN2),78.86824653554626,34.02069282531738,34.077405717975765,21.826474808635744,
1771495726.983998,204,19,IN3,IN3,19(IN3),66.14756106695465,38.63097496032715,39.216403687266535,40.71342910046618,64.81436920166016
1771495726.983998,165,12,OUT1,OUT1,12(OUT1),92.51407512053706,,0.0,46.553358903360596,76.27189636230469
1771495726.983998,151,11,OUT1,OUT1,11(OUT1),95.98335426412189,,0.0,76.79294750498842,
1771495726.983998,86,5,OUT2,OUT2,5(OUT2),-1.0,,0.0,49.92205489565287,
1771495727.0429482,230,3,IN1,IN1,3(IN1),78.17439803068575,33.861717224121094,33.97077218978822,59.493075255220404,
1771495727.0429482,227,32,IN2,IN2,32(IN2),-1.0,,35.27380361134812,30.193479281527782,65.37943267822266
1771495727.0429482,225,20,IN3,IN3,20(IN3),94.13306359330758,20.746262741088866,38.38213430132185,72.00307523403373,71.09296417236328
1771495727.0429482,219,31,IN2,IN2,31(IN2),88.65932329620598,35.133518600463866,34.94210388709882,27.65015397617702,61.367095947265625
1771495727.0429482,215,30,IN2,IN2,30(IN2),78.1743922154934,33.861717224121094,34.00397717201183,21.620773702084097,
1771495727.0429482,204,19,IN3,IN3,19(IN3),87.88836511923238,,39.216403687266535,40.632002242265244,66.43641662597656
1771495727.0429482,165,12,OUT1,OUT1,12(OUT1),88.8135151337047,,0.0,46.553358903360596,75.94706726074219
1771495727.0429482,151,11,OUT1,OUT1,11(OUT1),96.214636230317,,0.0,76.79294750498842,
1771495727.0429482,86,5,OUT2,OUT2,5(OUT2),-1.0,,0.0,49.92205489565287,
1771495727.101603,230,3,IN1,IN1,3(IN1),79.25372455066012,34.02069282531738,33.987157738920715,58.655418661989025,62.65790939331055
1771495727.101603,227,32,IN2,IN2,32(IN2),-1.0,,35.27380361134812,30.193479281527782,
1771495727.101603,225,20,IN3,IN3,20(IN3),100.06938571739336,41.81047668457031,39.08599172319685,70.24045090341488,
1771495727.101603,219,31,IN2,IN2,31(IN2),78.4827720615455,33.861717224121094,34.58782177496463,27.180421845879117,62.63499450683594
1771495727.101603,215,30,IN2,IN2,30(IN2),77.8660117241346,33.861717224121094,33.956529508152904,21.41887117148297,57.14118957519531
1771495727.101603,204,19,IN3,IN3,19(IN3),76.32410735602006,38.47199935913086,38.91782265706502,40.169150923287866,66.98895263671875
1771495727.101603,165,12,OUT1,OUT1,12(OUT1),92.28278449347499,,0.0,46.553358903360596,73.87995147705078
