Time,Global_ID,Local_ID,Lane_Path,Final_Lane,Unique_Key,Radar_Dist,Radar_Vel,Track_Vel,Score
1771504479.7658808,94,3,OUT1,OUT1,3(OUT1),54.73749360442104,29.25143508911133,29.401136109108275,79.0053148291527
1771504479.7658808,92,3,OUT2,OUT2,3(OUT2),65.06822885871169,34.656591796875,34.90818355628197,75.90928219167303
1771504479.7658808,91,12,IN2,IN2,12(IN2),95.28949689884121,39.425849533081056,39.27596401878503,70.08632415107397
1771504479.7658808,87,11,IN2,IN2,11(IN2),59.8257641521725,32.74889144897461,33.22165770275901,44.57640773468857
1771504479.7658808,85,10,IN2,IN2,10(IN2),59.67157703954428,55.48234405517578,31.61365708694015,24.045017490447123
1771504479.7658808,82,2,IN1,IN1,2(IN1),58.592244676732214,55.48234405517578,55.34957908658693,31.40124297127044
1771504479.7658808,14,2,OUT1,OUT1,2(OUT1),88.65931550083208,,0.0,61.28281346281007
1771504479.7658808,5,1,OUT1,OUT1,1(OUT1),95.75206539799497,,116.28881798246749,91.58200472310428
1771504479.7658808,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84
1771504479.8180788,94,3,OUT1,OUT1,3(OUT1),45.177706321572835,31.795041275024413,30.027511307472533,79.21020241713683
1771504479.8180788,92,3,OUT2,OUT2,3(OUT2),-1.0,,34.90818355628197,75.75746362728968
1771504479.8180788,91,12,IN2,IN2,12(IN2),94.5185457392434,39.584825134277345,39.37733641345952,68.99371329944782
1771504479.8180788,87,11,IN2,IN2,11(IN2),-1.0,,33.22165770275901,44.4872549192192
1771504479.8180788,85,10,IN2,IN2,10(IN2),53.503971481757446,55.64131965637207,31.61365708694015,24.045017490447123
1771504479.8180788,82,2,IN1,IN1,2(IN1),57.82129484903419,55.64131965637207,55.44524992552997,31.123197344140472
1771504479.8180788,14,2,OUT1,OUT1,2(OUT1),88.50512896431313,,0.0,61.28281346281007
1771504479.8180788,5,1,OUT1,OUT1,1(OUT1),-1.0,,116.28881798246749,91.58200472310428
1771504479.8180788,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84
1771504479.8719356,94,3,OUT1,OUT1,3(OUT1),55.81682517580498,28.93348731994629,29.775374383506545,79.36067401991927
1771504479.8719356,92,3,OUT2,OUT2,3(OUT2),67.07270135580946,34.49761962890625,34.74657696124824,76.17124940221058
1771504479.8719356,91,12,IN2,IN2,12(IN2),94.51854839304387,39.584825134277345,39.44540379608703,67.88051977057214
1771504479.8719356,87,11,IN2,IN2,11(IN2),58.74643441442485,32.271964645385744,32.84472512918743,44.35296088427593
1771504479.8719356,85,10,IN2,IN2,10(IN2),58.052580430997324,125.35194568634033,31.61365708694015,24.045017490447123
1771504479.8719356,82,2,IN1,IN1,2(IN1),-1.0,,55.44524992552997,31.06095094945219
1771504479.8719356,14,2,OUT1,OUT1,2(OUT1),88.50512393576986,,0.0,61.28281346281007
1771504479.8719356,5,1,OUT1,OUT1,1(OUT1),95.75207067983548,,116.28881798246749,91.58200472310428
1771504479.8719356,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84
1771504479.9171937,94,3,OUT1,OUT1,3(OUT1),56.12520456506337,28.93348731994629,29.499301462743976,79.52934190472611
1771504479.9171937,92,3,OUT2,OUT2,3(OUT2),66.14755761166305,34.33864402770996,34.60121316539723,76.4005798862253
1771504479.9171937,91,12,IN2,IN2,12(IN2),93.74759699108529,39.743800735473634,39.54327235580511,66.84454883293223
1771504479.9171937,87,11,IN2,IN2,11(IN2),-1.0,,32.84472512918743,44.26425496250738
1771504479.9171937,85,10,IN2,IN2,10(IN2),43.019045707687965,26.230907249450684,29.257593244166713,23.92821365666966
1771504479.9171937,82,2,IN1,IN1,2(IN1),56.89615651867622,55.64131965637207,55.52234033897676,30.784320897883998
1771504479.9171937,14,2,OUT1,OUT1,2(OUT1),88.35093384457286,,0.0,61.28281346281007
1771504479.9171937,5,1,OUT1,OUT1,1(OUT1),96.36882530668062,,116.28881798246749,91.58200472310428
1771504479.9171937,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84
1771504480.0274577,94,3,OUT1,OUT1,3(OUT1),56.89615565371279,28.774511718750002,29.261627278191995,79.84258821874846
1771504480.0274577,92,3,OUT2,OUT2,3(OUT2),-1.0,,34.60121316539723,76.24777872645285
1771504480.0274577,91,12,IN2,IN2,12(IN2),92.35988656740771,39.90277633666992,39.661171132012605,65.61821110282656
1771504480.0274577,87,11,IN2,IN2,11(IN2),57.82129304088558,31.636065673828124,32.340043716106514,44.023360328328074
1771504480.0274577,85,10,IN2,IN2,10(IN2),54.583304596212486,55.80029525756836,28.878354894862685,23.88035722935632
1771504480.0274577,82,2,IN1,IN1,2(IN1),55.045874373840434,55.80029525756836,55.62133649091444,30.294232109153775
1771504480.0274577,14,2,OUT1,OUT1,2(OUT1),88.81350409529271,,0.0,61.28281346281007
1771504480.0274577,5,1,OUT1,OUT1,1(OUT1),95.44368868003043,,116.28881798246749,91.58200472310428
1771504480.0274577,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84
1771504480.0831718,94,3,OUT1,OUT1,3(OUT1),52.116261713162906,28.615536117553713,29.049760056093536,80.13006556148281
1771504480.0831718,92,3,OUT2,OUT2,3(OUT2),68.46041263991914,206.8267318725586,34.60121316539723,76.24777872645285
1771504480.0831718,91,12,IN2,IN2,12(IN2),92.35988654522856,39.90277633666992,39.74040162312313,64.42927943300946
1771504480.0831718,87,11,IN2,IN2,11(IN2),-1.0,,32.340043716106514,43.93531360767142
1771504480.0831718,85,10,IN2,IN2,10(IN2),-1.0,,28.878354894862685,23.88035722935632
1771504480.0831718,82,2,IN1,IN1,2(IN1),54.583305987712244,55.80029525756836,55.68226095900927,29.819444587618392
1771504480.0831718,14,2,OUT1,OUT1,2(OUT1),88.19674586142465,,0.0,61.28281346281007
1771504480.0831718,5,1,OUT1,OUT1,1(OUT1),95.75206782721808,,116.28881798246749,91.58200472310428
1771504480.0831718,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84
1771504480.1439164,98,4,OUT1,OUT1,4(OUT1),42.24809227011607,31.159138870239257,31.159138870239257,62.75237867380943
1771504480.1439164,94,3,OUT1,OUT1,3(OUT1),57.821295905062776,28.456560516357424,28.855237136946634,80.40437469955616
1771504480.1439164,92,3,OUT2,OUT2,3(OUT2),69.07717339036664,33.702741622924805,34.19201396567507,76.55152539548477
1771504480.1439164,91,12,IN2,IN2,12(IN2),91.58893519418366,40.06174850463867,39.84577995754342,63.4814694801219
1771504480.1439164,87,11,IN2,IN2,11(IN2),-1.0,,32.340043716106514,43.93531360767142
1771504480.1439164,85,10,IN2,IN2,10(IN2),54.120730909066026,55.80029525756836,28.878354894862685,23.88035722935632
1771504480.1439164,82,2,IN1,IN1,2(IN1),71.23584054780918,,55.68226095900927,29.759805698443156
1771504480.1439164,14,2,OUT1,OUT1,2(OUT1),88.19674554112127,,0.0,61.28281346281007
1771504480.1439164,5,1,OUT1,OUT1,1(OUT1),-1.0,,116.28881798246749,91.58200472310428
1771504480.1439164,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84
1771504480.2015142,98,4,OUT1,OUT1,4(OUT1),51.80788070747074,31.000163269042968,31.079744086180625,62.84107675393104
1771504480.2015142,94,3,OUT1,OUT1,3(OUT1),57.821297161826976,28.297584915161135,28.672370949817754,80.65206116367852
1771504480.2015142,92,3,OUT2,OUT2,3(OUT2),-1.0,,34.19201396567507,76.3984223446938
1771504480.2015142,91,12,IN2,IN2,12(IN2),90.97217848646211,40.06174850463867,39.916601235957835,62.52339592499374
1771504480.2015142,87,11,IN2,IN2,11(IN2),56.20230318396207,31.000163269042968,31.706272273763307,43.6613400084198
1771504480.2015142,85,10,IN2,IN2,10(IN2),40.70619286069848,25.753982162475587,27.208423005897828,23.710142704144832
1771504480.2015142,82,2,IN1,IN1,2(IN1),53.195587985388784,55.95927085876465,55.79244150212672,29.56557610834615
1771504480.2015142,14,2,OUT1,OUT1,2(OUT1),88.11965151428132,,0.0,61.28281346281007
1771504480.2015142,5,1,OUT1,OUT1,1(OUT1),96.5230152352736,,116.28881798246749,91.58200472310428
1771504480.2015142,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84
1771504480.2499146,98,4,OUT1,OUT1,4(OUT1),43.63580412412636,30.84118766784668,30.984947024386933,62.99794204141015
1771504480.2499146,96,13,IN2,IN2,13(IN2),-1.0,,0.0,79.84
1771504480.2499146,94,3,OUT1,OUT1,3(OUT1),59.054816233839595,27.979635429382324,28.445208036526257,80.86829980412178
1771504480.2499146,92,3,OUT2,OUT2,3(OUT2),70.7732708766334,33.22581825256348,33.770019196966906,76.72537454681736
1771504480.2499146,91,12,IN2,IN2,12(IN2),89.89284171937645,40.22072410583496,40.01633002269628,61.60684331651656
1771504480.2499146,87,11,IN2,IN2,11(IN2),89.96994622258765,40.22072410583496,32.287077098592405,43.14345140257434
1771504480.2499146,85,10,IN2,IN2,10(IN2),-1.0,,27.208423005897828,23.662722418736543
